,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
exchange2_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65578.30933599,133309.12504594,0.0,0.0,0.0,0.0,0.0,0.0,153150.30446619098,95647.010974764,1177834.148164635,0.0,98002.193983113,0.0,0.0,1.723521091970633,0.049643,0.38038198147839997,2.103903073449033,0.10444406027523034,0.0051849164842432596
exchange2_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67021.905653215,134626.75578045,0.0,0.0,0.0,0.0,0.0,0.0,154906.378348247,97574.461883828,1189995.1163364449,0.0,99892.69262043,0.0,0.0,1.744017310622615,0.050634,0.38797536913919994,2.1319926797618147,0.10795131734705972,0.005466007002551022
deepsjeng_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114321.12990821,235273.68847636,0.0,0.0,0.0,0.0,0.0,0.0,172259.651554422,136274.364338304,1289325.107138435,0.0,121493.47446174201,0.0,0.0,2.068947415877473,0.070531,0.5404331232127999,2.6093805390902727,0.184042218802576,0.012980681734364488
cam4_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65016.742942675,240732.57498318,0.0,0.0,0.0,0.0,0.0,0.0,149927.303007214,147733.6005582,1144729.849229665,0.0,127056.73511100601,0.0,0.0,1.8751968058319402,0.076735,0.5879703351679999,2.46316714099994,0.1890111305646304,0.014503769103876914
deepsjeng_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107581.77962611,227294.98278974,0.0,0.0,0.0,0.0,0.0,0.0,170603.202897202,135684.834068188,1279356.7407297068,0.0,121378.009719993,0.0,0.0,2.04189954983094,0.070226,0.5380961068287999,2.5799956566597397,0.18118277498458688,0.012723741556067597
deepsjeng_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110004.47754034001,226251.69571621,0.0,0.0,0.0,0.0,0.0,0.0,172607.42949302698,139636.4612696,1292775.2504298429,0.0,124645.587648699,0.0,0.0,2.065920902097719,0.072276,0.5538039218688,2.6197248239665187,0.18934323137700412,0.013684971391004351
nab_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53663.799766315,220623.89996131,0.0,0.0,0.0,0.0,0.0,0.0,138306.488113672,138862.674024112,1072622.719945434,0.0,124792.04499852401,0.0,0.0,1.748871626809367,0.072203,0.5532445704064,2.302116197215767,0.16621969578757004,0.01200156069494992
roms_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71718.8104095,275350.94193365,0.0,0.0,0.0,0.0,0.0,0.0,149444.5921642,202380.97684252,1133411.805631508,0.0,154094.234624043,0.0,0.0,1.9864013616054208,0.105227,0.8062859771776,2.7926873387830207,0.2938661105981209,0.03092264921990847
mcf_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230506.67460278998,393682.81197559,0.0,0.0,0.0,0.0,0.0,0.0,233464.21092913699,313839.12545816397,1693575.996248324,0.0,256792.14769401198,0.0,0.0,3.121860966908017,0.162893,1.2481429830783999,4.370003949986417,0.7118430534251375,0.11595425050158094
wrf_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56900.824064555,209856.11156602,0.0,0.0,0.0,0.0,0.0,0.0,153292.924006671,150213.28955636,1170388.419120454,0.0,132568.282511438,0.0,0.0,1.873219850825498,0.078018,0.5978011286784,2.4710209795038978,0.19278411477893512,0.01504063106682296
