,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf,DynamicPower,sim_seconds,StaticPower,total,ED,ED^2
xalancbmk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138334.50822291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174932.033818133,287921.51634709997,1335394.8826557498,0.0,0.0,0.0,0.0,1.9365829410438928,0.149453,0.9723891625223999,2.9089721035662928,0.43475460779429315,0.06497538039868049
povray_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91330.43262698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193851.010110065,193155.498981144,1493140.8059610229,0.0,0.0,0.0,0.0,1.9714777476792118,0.100156,0.6516470660447999,2.6231248137240115,0.26272168884334207,0.026313153467793768
roms_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100785.81585051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140229.105321027,222302.329766788,1117981.521666656,0.0,0.0,0.0,0.0,1.581298772604981,0.115587,0.7520461023095999,2.333344874914581,0.26970433405675165,0.031174314860617752
roms_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87385.77511311999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139787.8684599,163281.34464116,1118196.811356002,0.0,0.0,0.0,0.0,1.5086517995701818,0.084898,0.5523736232783999,2.061025422848582,0.1749769363489989,0.01485519194215731
gcc_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172807.34947368002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225508.580540723,260007.48675970398,1681040.60888155,0.0,0.0,0.0,0.0,2.339364025655657,0.13458,0.875620653264,3.214984678919657,0.4326726380890074,0.058229083634018616
povray_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95762.45826546001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196945.59307883098,197700.62643153197,1516227.6385416188,0.0,0.0,0.0,0.0,2.006636316317442,0.102508,0.6669499325663999,2.6735862488838418,0.27406397920058484,0.02809375037989355
gcc_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127373.89566894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213941.58603654098,243405.375080912,1609428.280692129,0.0,0.0,0.0,0.0,2.194149137478522,0.126131,0.8206487488247999,3.0147978863033216,0.38025947219732426,0.047962507487720706
parest_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70203.78303085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157871.40801911498,240322.1109098,1248573.2142356338,0.0,0.0,0.0,0.0,1.7169705161953988,0.124896,0.8126134426367999,2.5295839588321987,0.3159349181223063,0.03945900753380356
parest_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71148.56497209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158848.125721963,237296.522571116,1255193.7034512837,0.0,0.0,0.0,0.0,1.7224869167164527,0.123323,0.8023790000183999,2.5248659167348526,0.3113740394494922,0.038399580667029726
parest_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73570.01811224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161062.880308605,236691.92438756,1271057.2305471469,0.0,0.0,0.0,0.0,1.7423820533555519,0.123009,0.8003360152871999,2.5427180686427517,0.31277720690567623,0.03847441144426032
