,RegCommitSB,RegSpecSB,RegMap,RegRT,RegSpecRT,SRAMMap,SRAMSB,SRAMRT,RegARF,RegSpecARF,RegCenterInstBuf,RegCenterPairBuf,RegCenterWKBuf,RegInterGroupWKBuf,QueueTxBuf,QueuePairBuf,SRAMInst,SRAMPointer,SRAMValue,RegValid,RegNbusy,RegRxBuf,QueueReadyInstBuf
wrf_2,0.0,0.0,332386.518488462,123550.11394843,0.0,161931.07238694403,0.0,161931.07238694403,432597.91517803003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143100.375935423,254720.433916232,1149532.030503172,0.0,0.0,0.0,0.0
wrf_1,0.0,0.0,588206.347216066,256651.9190143,0.0,483882.90400934406,0.0,483882.90400934406,418786.59643366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155859.355303494,208552.075090008,1217142.335280649,0.0,0.0,0.0,0.0
perlbench_1,0.0,0.0,801949.2436076931,373505.43295508,0.0,835014.1424271362,0.0,835014.1424271362,250418.44019367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138542.72348835098,166743.799944512,1086057.6362587288,0.0,0.0,0.0,0.0
imagick_2,0.0,0.0,594299.26014734,260457.80345351,0.0,510895.38483200007,0.0,510895.38483200007,358272.18057225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139883.428679218,156306.87111219997,1123512.5030588498,0.0,0.0,0.0,0.0
roms_2,0.0,0.0,371861.856379868,149314.80700662,0.0,234659.17279526405,0.0,234659.17279526405,402116.83142792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140229.105321027,222302.329766788,1117981.521666656,0.0,0.0,0.0,0.0
xz_2,0.0,0.0,1061616.9128485362,461782.72369103995,0.0,932016.0181669121,0.0,932016.0181669121,730237.9527205001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229043.941531824,286783.685630624,1738794.8346679017,0.0,0.0,0.0,0.0
povray_2,0.0,0.0,883750.4893542072,378222.71470448,0.0,769003.7081753601,0.0,769003.7081753601,508091.08136843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196945.59307883098,197700.62643153197,1516227.6385416188,0.0,0.0,0.0,0.0
cam4_1,0.0,0.0,608147.654655298,255851.4973484,0.0,474721.75901248003,0.0,474721.75901248003,485329.69842629996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166659.23823174599,196162.899284804,1302082.0950928119,0.0,0.0,0.0,0.0
deepsjeng_1,0.0,0.0,892925.569486795,387523.49511265,0.0,753175.590958336,0.0,753175.590958336,721983.7659647199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203993.73255865602,209089.323704912,1548200.0313042148,0.0,0.0,0.0,0.0
lbm_0,0.0,0.0,238602.970308153,74498.03520131999,0.0,30443.744435328004,0.0,30443.744435328004,408016.77811139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159353.994399234,351915.26978116,1266185.806692588,0.0,0.0,0.0,0.0
cactuBSSN_1,0.0,0.0,137725.73896285798,57880.26009518,0.0,5072.9373399040005,0.0,5072.9373399040005,479770.83433272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139701.719476353,359693.31390848,1040880.0097170989,0.0,0.0,0.0,0.0
nab_2,0.0,0.0,448459.107729172,181798.68879954,0.0,305295.80893324804,0.0,305295.80893324804,379621.49860236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149777.977171094,197580.922867664,1192409.036904837,0.0,0.0,0.0,0.0
xalancbmk_2,0.0,0.0,1154228.858413777,535415.54292963,0.0,1176556.8392264962,0.0,1176556.8392264962,629710.0090117201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174932.033818133,287921.51634709997,1335394.8826557498,0.0,0.0,0.0,0.0
mcf_0,0.0,0.0,781938.772187053,303590.7059054,0.0,590094.8717619202,0.0,590094.8717619202,560343.2575191499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230723.266502408,349848.407313796,1769902.7323554528,0.0,0.0,0.0,0.0
xalancbmk_0,0.0,0.0,1178229.3787898012,560396.31663209,0.0,1269972.271753472,0.0,1269972.271753472,346715.76913876005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171784.15745213898,455907.60772464797,1321285.0458877608,0.0,0.0,0.0,0.0
namd_2,0.0,0.0,296342.966877717,90791.49356632,0.0,71519.238209664,0.0,71519.238209664,399259.21983941004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145720.08836066897,177319.022463768,1203768.304312063,0.0,0.0,0.0,0.0
roms_1,0.0,0.0,407399.60431869904,167323.15112423,0.0,277811.11762252805,0.0,277811.11762252805,394999.58766618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139787.8684599,163281.34464116,1118196.811356002,0.0,0.0,0.0,0.0
parest_1,0.0,0.0,625273.3377655101,262260.03602679,0.0,497823.897269888,0.0,497823.897269888,414469.87701203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161062.880308605,236691.92438756,1271057.2305471469,0.0,0.0,0.0,0.0
lbm_1,0.0,0.0,237798.83732465398,74146.19018263,0.0,29265.101806976003,0.0,29265.101806976003,408396.95650705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157576.391978671,341158.617195136,1254267.637649983,0.0,0.0,0.0,0.0
lbm_2,0.0,0.0,238645.541895936,74413.85989427,0.0,30302.028128512004,0.0,30302.028128512004,407374.40962253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159815.376163508,354564.877036224,1269322.441980701,0.0,0.0,0.0,0.0
gcc_1,0.0,0.0,1129861.3520530341,511424.20210962003,0.0,1113028.937781376,0.0,1113028.937781376,498296.63146508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196247.853250465,177215.83303046,1483394.021768428,0.0,0.0,0.0,0.0
deepsjeng_0,0.0,0.0,868219.2829758951,376928.15208081005,0.0,729843.0935604481,0.0,729843.0935604481,703270.45888484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199847.32455467602,206119.404312012,1518507.7038839909,0.0,0.0,0.0,0.0
xz_1,0.0,0.0,1056173.261352895,460277.12580295,0.0,933693.6221840641,0.0,933693.6221840641,704630.4774875799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226370.149172831,287823.23249407596,1719418.5484515298,0.0,0.0,0.0,0.0
fotonik3d_0,0.0,0.0,738203.56373158,334299.16406618,0.0,712703.663788032,0.0,712703.663788032,324908.38193114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148638.148157697,156070.45130893198,1164427.2936810618,0.0,0.0,0.0,0.0
leela_2,0.0,0.0,1144680.5212393291,493404.51843737,0.0,991126.3342400002,0.0,991126.3342400002,766268.44700182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238464.071897091,229584.088988652,1810426.9154416097,0.0,0.0,0.0,0.0
leela_1,0.0,0.0,1131201.0177965942,487319.09969342,0.0,977357.7518754562,0.0,977357.7518754562,756629.03713446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237445.518525205,228062.20066887597,1803478.8878186687,0.0,0.0,0.0,0.0
gcc_2,0.0,0.0,1283747.47682963,582163.92973151,0.0,1209219.4546960641,0.0,1209219.4546960641,994670.63049417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225508.580540723,260007.48675970398,1681040.60888155,0.0,0.0,0.0,0.0
xz_0,0.0,0.0,1205284.34473585,499660.78962619003,0.0,1004745.7348929282,0.0,1004745.7348929282,620658.08233149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288715.488121701,292749.70836866397,2204950.224022009,0.0,0.0,0.0,0.0
leela_0,0.0,0.0,1185096.9105043442,513653.72167957,0.0,1044858.1206407682,0.0,1044858.1206407682,766042.13471597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238542.644952294,234114.62495589998,1808936.473905556,0.0,0.0,0.0,0.0
povray_0,0.0,0.0,808733.378070165,348240.10542934,0.0,714100.1309962241,0.0,714100.1309962241,416300.06712315005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180584.777882341,174182.68413263198,1399796.607931454,0.0,0.0,0.0,0.0
mcf_1,0.0,0.0,2100046.381993168,997567.62413418,0.0,2190658.2326272,0.0,2190658.2326272,1473679.14774248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270994.64052209,404344.213682824,2001021.6239326159,0.0,0.0,0.0,0.0
exchange2_1,0.0,0.0,758789.464533617,334221.50969727,0.0,699709.168806144,0.0,699709.168806144,389230.5832499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166031.732198479,152617.006395092,1290232.641078548,0.0,0.0,0.0,0.0
namd_0,0.0,0.0,238425.527194476,76399.44487256999,0.0,37564.121240576,0.0,37564.121240576,410866.06360779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141224.060067015,160726.29188025199,1139695.153147011,0.0,0.0,0.0,0.0
wrf_0,0.0,0.0,609259.872279564,265506.54972453,0.0,514677.7807987201,0.0,514677.7807987201,426197.06298561004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157092.40176269,198729.45316603198,1225877.266855454,0.0,0.0,0.0,0.0
imagick_0,0.0,0.0,591425.23115961,259261.435193,0.0,508766.65480704006,0.0,508766.65480704006,354063.10809786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139399.93080449698,151459.96737599198,1120292.2596095297,0.0,0.0,0.0,0.0
namd_1,0.0,0.0,284024.52703605103,90977.33246077,0.0,70180.17211340801,0.0,70180.17211340801,415618.12151818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144495.767360633,170954.99071603597,1180346.8969973908,0.0,0.0,0.0,0.0
cam4_0,0.0,0.0,568023.5780731831,238052.48566183,0.0,447822.2795056641,0.0,447822.2795056641,432474.5043934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156168.09984486,203358.57430571198,1232309.6287515878,0.0,0.0,0.0,0.0
perlbench_0,0.0,0.0,801932.4005715972,373500.61857496004,0.0,835003.1360957441,0.0,835003.1360957441,250429.03495869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138541.30740022002,166700.3840083,1086039.647286945,0.0,0.0,0.0,0.0
bwaves_0,0.0,0.0,723122.936280564,294798.35481635,0.0,553680.66207104,0.0,553680.66207104,472339.66463089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185284.98328959098,191218.138259312,1457632.4081566338,0.0,0.0,0.0,0.0
fotonik3d_1,0.0,0.0,738156.6581052671,334279.49442413,0.0,712657.7995102721,0.0,712657.7995102721,324912.16487618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148631.882766134,156102.286939248,1164385.728139439,0.0,0.0,0.0,0.0
parest_0,0.0,0.0,614629.7029383611,258274.52429665,0.0,489269.66163174406,0.0,489269.66163174406,412949.23332348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158848.125721963,237296.522571116,1255193.7034512837,0.0,0.0,0.0,0.0
bwaves_2,0.0,0.0,319424.01460959297,118786.50597007,0.0,146285.703005568,0.0,146285.703005568,435527.0822105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157308.81819390698,377979.87668839993,1251264.982918439,0.0,0.0,0.0,0.0
cam4_2,0.0,0.0,434618.156620024,176810.60091755,0.0,288195.192679296,0.0,288195.192679296,408834.40606729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153350.91124483699,196114.251747212,1206754.887669192,0.0,0.0,0.0,0.0
imagick_1,0.0,0.0,596496.266673221,261659.15660597,0.0,513645.95462566405,0.0,513645.95462566405,358955.3430253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139673.09452737,156447.79339151198,1122060.097635985,0.0,0.0,0.0,0.0
