,RegIntRegfile,RegFloatRegfile,RegMiscRegfile,CAMIntScheduler,CAMFloatScheduler,CAMIntSchedulerSearch,CAMFloatSchedulerSearch
cactuBSSN_1,795314.3462525599,445897.88993624,293845.37978948,110944.038153893,53311.131658196995,202550.78583825,168907.6669096
nab_2,587860.20317916,770210.48663688,665135.78638028,69013.06343124299,81678.942188877,155867.7629084,234975.8124171
xalancbmk_2,1155289.53961776,6450.17492728,3722.45719252,173112.74863765197,1255.917649473,394396.47590355,3281.93072015
mcf_0,1596308.00220312,0.0,0.0,251217.20637238398,0.0,491489.81408665,0.0
xalancbmk_0,1270959.9408324799,39.40790316,2.0329146399999996,209662.161729758,9.438490454,436323.08482,25.105964
namd_2,513520.70776715997,937297.8449585199,699590.851878,45184.294614961,84129.55252873599,111025.12598455,264204.63808645
roms_1,821004.7750992,550275.01312564,400355.33726175997,75686.20707285899,56126.54325531999,193509.88679835,177945.6728214
parest_1,858090.4007218399,404025.20918403997,188212.62402391998,94853.95463790599,44303.302588591,233531.91309035,138681.83364355
lbm_1,579132.38391744,1106583.0466741598,1140150.70625512,51601.02786988799,151516.759479004,23213.538827200002,348318.4101447
lbm_2,622600.9951801199,1098681.16828428,1127522.59250784,53486.080914835,155476.25934592698,24369.5459107,347305.33435965
gcc_1,1109462.52735124,0.0,0.0,146959.877354888,0.0,391833.8496215,0.0
deepsjeng_0,1219344.0630613999,0.0,0.0,147549.406982266,0.100156894,389870.3849695,0.0
xz_1,1432979.61975556,0.0,0.0,209717.675926728,0.0,452821.4133541,0.0
fotonik3d_0,1125153.79319824,0.0,647.2279421999999,136388.700542434,0.0,378752.46321425,0.0
leela_2,1319993.9534314,1095.53989188,1373.67225552,169321.207804332,153.45528184299997,417112.2165734,482.8032861
leela_1,1316501.74865604,1101.80396896,1382.3075642,168062.02430760697,154.022344638,415831.7084202,485.3064547
gcc_2,1254352.9733414399,2.6405237599999998,6.008830199999999,189181.939155313,1.6568164679999997,429762.44518795,1.25715515
xz_0,1325471.5801726398,0.0,0.0,163280.81675123097,0.0,421721.4450159,0.0
leela_0,1315451.399135,1865.15681656,2078.50254648,173478.89810593898,281.22350407299996,417078.9994518,833.621994
povray_0,880272.12442436,308028.84959716,185503.35610692,104435.793249907,36916.798541129,277607.00758595,109003.17854925
mcf_1,1847308.23818848,0.0,0.0,310518.83994707395,0.0,491380.07205555,0.0
exchange2_1,1113620.20858664,0.0,0.0,132085.211340899,0.0,378087.090175,0.0
namd_0,482769.67752955994,893168.7307519999,849489.79713032,34068.400215723996,93726.11751586199,79392.3671232,294000.3720213
wrf_0,809764.9312440399,473683.76718588,367734.50523391995,91559.30438181899,60303.170550056995,224431.94447095,166094.32266635
imagick_0,578477.9945804,697924.1232455199,754751.2960075199,58118.394181027,68755.101166743,157657.1050728,213786.5236432
namd_1,512369.1904930399,924393.0023131199,746551.03216628,44899.695958261,84221.790167656,110254.97082765,265455.6151638
cam4_0,841345.34827112,434786.67969068,306848.51875727996,90683.494953915,51836.091943723,230321.35424345,151493.4497826
perlbench_0,1067900.8323825598,0.0,733.3960919999998,128308.936099746,0.0,371390.0037139,0.0
bwaves_0,1242022.45455932,10379.7858444,9723.30175972,128975.824677888,1287.1844564419998,371459.9624482,3458.8776287
fotonik3d_1,1125151.80039812,0.0,647.2279421999999,136388.319773896,0.0,378751.7817136,0.0
parest_0,859896.7958173599,403799.13978136,188641.86464388,95821.180423521,44159.522604009995,234083.2434023,138188.5701581
bwaves_2,1236227.355999,576619.5707366,272101.09266024,98148.904898079,100395.386562675,178506.6314191,192949.36087
cam4_2,763315.99658284,516187.8327445199,421639.749258,84234.661696738,56863.69191772799,214226.78234785,166372.94315825
imagick_1,575228.24822508,701756.08339852,758930.8120340799,57816.89518068799,69390.789179299,156568.3790017,214926.41797155
